Date,Open,High,Low,Close,Adj Close,Volume
11/23/2021,31.53499985,32.36000061,30.87999916,31.74600029,31.64215469,532163000
11/24/2021,31.46100044,32.85499954,30.9279995,32.67399979,32.56712341,435162000
11/26/2021,32.59999847,32.70999908,31.35000038,31.50300026,31.39994621,283069000
11/29/2021,32.36600113,33.41199875,32.0359993,33.37599945,33.266819,454964000
11/30/2021,33.16899872,33.35300064,31.86400032,32.67599869,32.5691185,622066000
12/1/2021,33.21900177,33.28900146,31.37999916,31.43499947,31.33600616,484368000
12/2/2021,31.2140007,32.47800064,31.02499962,32.12599945,32.02483368,472890000
12/3/2021,32,32.12900162,30.12999916,30.69300079,30.59634209,544325000
12/6/2021,29.87999916,30.24099922,28.03800011,30.03700066,29.94241142,658938000
12/7/2021,30.95700073,32.44900131,30.65099907,32.42699814,32.32487488,593053000
12/8/2021,31.99900055,32.29000092,31.42099953,31.82600021,31.72577286,475551000
12/9/2021,31.73399925,32.20500183,30.4279995,30.48999977,30.39398193,488507000
12/10/2021,31.14999962,31.30500031,29.86100006,30.19799995,30.10290337,488825000
12/13/2021,30.24900055,30.29400063,28.11599922,28.1609993,28.07231522,598344000
12/14/2021,27.6989994,28.6779995,27.25,28.33699989,28.24776268,667035000
12/15/2021,28.39999962,30.5,27.83799934,30.45899963,30.36307526,698297000
12/16/2021,31.15200043,31.15999985,28.09300041,28.38699913,28.2976017,707366000
12/17/2021,27.98500061,28.92200089,27.76000023,27.8010006,27.71345329,713758000
12/20/2021,27.30500031,28.1439991,27.14500046,27.71899986,27.63171005,461847000
12/21/2021,28.37400055,29.12000084,27.40099907,29.07500076,28.98343849,524385000
12/22/2021,28.89100075,29.55500031,28.4489994,29.39999962,29.30741501,395184000
12/23/2021,29.75499916,30.05900002,29.43099976,29.63999939,29.54665947,343022000
12/27/2021,29.65999985,31.08699989,29.63999939,30.94499969,30.84755135,403686000
12/28/2021,31.31200027,31.32999992,30.01199913,30.3220005,30.22650528,420591000
12/29/2021,30.27300072,30.54800034,29.36599922,30.00099945,29.90651894,343139000
12/30/2021,29.82699966,30.45700073,29.54000092,29.58600044,29.49282837,308864000
12/31/2021,29.67399979,30.03000069,29.33099937,29.4109993,29.31837654,266530000
1/3/2022,29.81500053,30.71100044,29.78499985,30.12100029,30.02614212,391547000
1/4/2022,30.27700043,30.46800041,28.34900093,29.29000092,29.19776344,527154000
1/5/2022,28.9489994,29.41600037,27.53300095,27.60400009,27.51706886,498064000
1/6/2022,27.63999939,28.43799973,27.06500053,28.1779995,28.08926392,454186000
1/7/2022,28.14100075,28.42200089,27.05699921,27.24699974,27.16119194,409939000
1/10/2022,26.58099937,27.46899986,25.6439991,27.39999962,27.31371117,594681000
1/11/2022,27.32299995,28.06500053,26.8390007,27.81699944,27.72939682,404089000
1/12/2022,28.06699944,28.59499931,27.6079998,27.99900055,27.91082573,383413000
1/13/2022,28.37899971,28.47999954,26.49799919,26.57500076,26.4913063,540171000
1/14/2022,26.29999924,27.1970005,26.20999908,26.94199944,26.85715485,395832000
1/18/2022,26.26000023,26.63800049,25.77000046,25.90299988,25.82143211,424270000
1/19/2022,26.07900047,26.54299927,25.05200005,25.06699944,24.98805809,488315000
1/20/2022,25.30400085,25.57900047,24.07799911,24.14999962,24.07394981,435181000
1/21/2022,23.50699997,24.82299995,23.26300049,23.37400055,23.30039024,718958000
1/24/2022,22.32999992,23.37999916,20.88800049,23.37199974,23.29839706,913982000
1/25/2022,22.54599953,22.94300079,22,22.3239994,22.25369453,664616000
1/26/2022,23.23999977,24.05699921,22.29999924,22.77199936,22.70028496,755959000
1/27/2022,23.56800079,23.99500084,21.67499924,21.94400024,21.8748951,573353000
1/28/2022,22.01199913,22.8579998,21.29599953,22.84000015,22.76807022,543774000
1/31/2022,23.18199921,24.50900078,23.05200005,24.48600006,24.40888977,564680000
2/1/2022,25.10400009,25.14500046,23.88999939,24.63800049,24.56040955,518925000
2/2/2022,25.79400063,25.81699944,24.5529995,25.24200058,25.1625061,543419000
2/3/2022,24.45800018,25.07699966,23.78000069,23.94799995,23.8725872,410178000
2/4/2022,23.97200012,24.63500023,23.63199997,24.31900024,24.24241257,354829000
2/7/2022,24.37199974,25.18199921,24.20199966,24.72800064,24.6501255,376868000
2/8/2022,24.35899925,25.22999954,23.97999954,25.1079998,25.02893066,410359000
2/9/2022,25.62199974,26.72500038,25.35300064,26.70499992,26.62090111,524282000
2/10/2022,25.99500084,26.92499924,25.60000038,25.8239994,25.74267769,513200000
2/11/2022,25.91600037,26.15200043,23.77300072,23.9489994,23.87358093,605472000
2/14/2022,23.93400002,24.875,23.75499916,24.2670002,24.19057655,440424000
2/15/2022,24.9489994,26.54500008,24.7840004,26.49500084,26.41156197,699869000
2/16/2022,26.25900078,26.58200073,25.55200005,26.51099968,26.42751312,732676000
2/17/2022,25.62999916,25.78499985,24.16500092,24.50699997,24.42982101,810595000
2/18/2022,24.66799927,24.98600006,23.10000038,23.6420002,23.56754875,761255000
2/22/2022,23.03499985,24.06399918,23,23.38999939,23.3163414,633422000
2/23/2022,23.80200005,24.15500069,22.3010006,22.38699913,22.31649971,566511000
2/24/2022,21.01499939,23.79999924,20.88999939,23.74799919,23.67321396,735801000
2/25/2022,23.72100067,24.21699905,23.38100052,24.15699959,24.08091927,528866000
2/28/2022,23.99200058,24.66500092,23.70700073,24.38500023,24.30820847,477319000
3/1/2022,24.29100037,24.37700081,23.13199997,23.47699928,23.40306664,412056000
3/2/2022,23.75600052,24.4090004,23.41500092,24.21999931,24.1478405,389642000
3/3/2022,24.26199913,24.32600021,23.46899986,23.7140007,23.64334488,365095000
3/4/2022,23.38400078,23.68000031,22.48200035,22.93600082,22.86766815,431415000
3/7/2022,22.81699944,23.03300095,21.32999992,21.35199928,21.2883873,450821000
3/8/2022,21.30900002,22.37299919,20.64999962,21.51399994,21.44990158,557467000
3/9/2022,22.38699913,23.21999931,22.24699974,23.01399994,22.94543648,492742000
3/10/2022,22.53100014,22.78800011,21.88199997,22.65800095,22.59049606,428066000
3/11/2022,23.02199936,23.14500046,22.04599953,22.10000038,22.0341568,367209000
3/14/2022,21.86899948,22.26199913,21.1590004,21.32999992,21.26645088,385354000
3/15/2022,21.51799965,23.03800011,21.3220005,22.97299957,22.90455246,491996000
